tamanho,algoritmo,tempo_mean,tempo_std,tempo_ci_low,tempo_ci_high,co2_mean,co2_std,co2_ci_low,co2_ci_high
100,Classic_O(V^2),0.0010802273400054218,0.0002723735798467305,0.0010261825125779233,0.0011342721674329204,0.005650499052655376,0.0010701768923457857,0.005438152739564839,0.005862845365745917
100,MinHeap_O((V+E)logV),0.0007975345099950459,0.00016707845144014858,0.0007643825204371096,0.0008306864995529822,0.004893738101163208,0.001385314634391544,0.004618861623089931,0.005168614579236483
100,NetworkX (Ref),0.0007641572499935024,0.00023081011628315056,0.0007183595154626306,0.0008099549845243741,0.004635225206571517,0.0011448704231710643,0.004408058076477821,0.004862392336665211
500,Classic_O(V^2),0.023068949519996523,0.006633504577839234,0.02175271829687062,0.024385180743122428,0.07605743871462803,0.021407019557711356,0.07180982160585914,0.08030505582339689
500,MinHeap_O((V+E)logV),0.004739301709997789,0.0011860547075498182,0.004503962724384087,0.004974640695611492,0.017373132975364886,0.0038381100444241957,0.01661156867417466,0.01813469727655511
500,NetworkX (Ref),0.003804425970005241,0.0010583686711113137,0.003594422664188762,0.0040144292758217195,0.014716716236239172,0.004393409513823963,0.013844968473014266,0.01558846399946407
1000,Classic_O(V^2),0.09546859928999879,0.026451377289023307,0.09022007216923561,0.10071712641076197,0.3066715946877618,0.08428220093811249,0.2899481775065754,0.32339501186894815
1000,MinHeap_O((V+E)logV),0.010736248490005665,0.0030943187572694147,0.01012226851685114,0.01135022846316019,0.03667876364236424,0.010267458257789288,0.034641477169962916,0.03871605011476558
1000,NetworkX (Ref),0.007961361400006126,0.0020676808008611007,0.0075510886704683615,0.00837163412954389,0.02777286557240019,0.006738241549064304,0.02643585226189884,0.029109878882901542
5000,Classic_O(V^2),2.209440288430003,0.19431095977752755,2.1708847784045537,2.247995798455452,7.043898783882372,0.6192999117858342,6.921016245579043,7.166781322185701
5000,MinHeap_O((V+E)logV),0.07209984604998454,0.017755330434100002,0.06857680328728662,0.07562288881268246,0.23232859117123716,0.056932614784214304,0.221031925236382,0.24362525710609234
5000,NetworkX (Ref),0.05484602246999657,0.024214970027580926,0.050041247069096496,0.059650797870896645,0.17724510688887077,0.07715330556821544,0.16193621721153253,0.192553996566209
9997,Classic_O(V^2),9.781352687800062,0.08186648219391647,9.679702024200287,9.883003351399838,31.175353426937356,0.2609923975063241,30.851288563148866,31.499418290725846
9997,MinHeap_O((V+E)logV),0.14425033779998558,0.006872355980572816,0.13571718079606798,0.15278349480390319,0.4634960175885382,0.024515063087150808,0.43305654633952895,0.49393548883754745
9997,NetworkX (Ref),0.08614229400000113,0.0010246935693333451,0.084869968885769,0.08741461911423326,0.2768424697563493,0.003214780465298707,0.27285079259045913,0.28083414692223946
9999,Classic_O(V^2),9.743711564685691,0.050383985774153026,9.72640406002026,9.761019069351123,31.05528182035715,0.16054107079007715,31.00013403303941,31.110429607674874
9999,MinHeap_O((V+E)logV),0.14618525782851585,0.0281130660992553,0.13652808173979783,0.15584243391723387,0.46825938583473065,0.08961415179888665,0.4374758476426485,0.4990429240268128
9999,NetworkX (Ref),0.09096862885713303,0.005046330828808715,0.08923515356690052,0.09270210414736553,0.2923233752786688,0.01608293132053131,0.28679869507350103,0.2978480554838366
10000,Classic_O(V^2),9.548722896066659,0.4321112026143181,9.437096735822758,9.66034905631056,30.43388913178228,1.3770872058577057,30.07814978463996,30.78962847892459
10000,MinHeap_O((V+E)logV),0.15330851968335538,0.027296475532834343,0.14625709233436002,0.16035994703235074,0.4909723676019608,0.08691691386803808,0.4685193478777797,0.513425387326142
10000,NetworkX (Ref),0.1010858651833208,0.021322710355759784,0.09557762501596105,0.10659410535068055,0.32456152265655724,0.06802277694388163,0.3069893760576409,0.3421336692554735
49996,MinHeap_O((V+E)logV),1.0208055321998473,0.09668870206259175,0.9007506518156768,1.1408604125840176,3.255499766955655,0.3081554709985472,2.872874212767234,3.638125321144076
49996,NetworkX (Ref),0.713397919399722,0.15623928838615878,0.5194012199056528,0.9073946188937911,2.276546309937486,0.49852833564533094,1.6575416234822353,2.895550996392737
49997,MinHeap_O((V+E)logV),1.0294359927332455,0.1344291836499024,0.9549915921803263,1.1038803932861647,3.28351379302338,0.4288508317335304,3.0460241183247065,3.5210034677220525
49997,NetworkX (Ref),0.6697401471333554,0.11346055496791776,0.6069077860964421,0.7325725081702686,2.136690476531124,0.36142373885876367,1.9365406812678614,2.3368402717943866
49998,MinHeap_O((V+E)logV),1.0576469895778247,0.190107617667543,1.0005323383004943,1.114761640855155,3.3733413821972684,0.60611277771915,3.1912449446168307,3.5554378197777052
49998,NetworkX (Ref),0.6539141565111499,0.08739322853358644,0.6276583239835719,0.6801699890387279,2.0864312829438085,0.2785861489192008,2.0027347381055054,2.1701278277821126
49999,MinHeap_O((V+E)logV),1.105561184700082,0.22166310524722346,0.9469929515586604,1.2641294178415035,3.5257615762287466,0.7062401822538216,3.020547784567012,4.030975367890482
49999,NetworkX (Ref),0.6305055795998669,0.0582907443510326,0.5888068930731549,0.6722042661265788,2.011811821164333,0.18578502232555244,1.8789092224145514,2.144714419914115
50000,MinHeap_O((V+E)logV),1.0753456859998551,0.18366678958950655,0.9995317614293313,1.151159610570379,3.4297303039079012,0.585629283404789,3.1879944167746226,3.67146619104118
50000,NetworkX (Ref),0.6802748478400099,0.0972235719273073,0.6401429297885883,0.7204067658914315,2.1705387681680923,0.3096257861338592,2.042731525239169,2.2983460110970158
99990,MinHeap_O((V+E)logV),2.2980933940001704,0.2707811519393229,1.9618741862449691,2.6343126017553717,7.326281463711291,0.8630329033019138,6.2546845784160325,8.39787834900655
99990,NetworkX (Ref),1.404457770800218,0.015941848749524517,1.3846633511431237,1.4242521904573122,4.478631949099533,0.05156093021889557,4.4146105983328345,4.542653299866234
99992,MinHeap_O((V+E)logV),2.277148983799998,0.2156211560667927,2.0094199570607856,2.54487801053921,7.259548483176502,0.6873271065371934,6.4061191599997045,8.1129778063533
99992,NetworkX (Ref),1.4338157491998573,0.049991060245179054,1.371743649461383,1.4958878489383316,4.572349967464626,0.16061659161035968,4.372918128147845,4.771781806781405
99993,MinHeap_O((V+E)logV),2.2524360996666775,0.22192831880816521,2.1295362931602426,2.3753359061731123,7.180774962661082,0.7072571640297766,6.7891090000820355,7.572440925240128
99993,NetworkX (Ref),1.40300386913356,0.05847373410521325,1.370622194519734,1.435385543747386,4.473759596112708,0.1863301747669301,4.370573384690269,4.576945807535148
99995,MinHeap_O((V+E)logV),2.3221763901998203,0.33772147688780374,1.902839790928029,2.7415129894716115,7.403004882438405,1.0762971794250689,6.0666054233780375,8.739404341498773
99995,NetworkX (Ref),1.3634456630006753,0.015785302701327174,1.3438456209356886,1.383045705065662,4.347844542789177,0.050155268590076726,4.2855685514606385,4.410120534117716
99996,MinHeap_O((V+E)logV),2.237848690900319,0.2673431417012103,2.1127282491265933,2.3629691326740443,7.134238147171795,0.8519577188482808,6.735509661090155,7.532966633253431
99996,NetworkX (Ref),1.4600583455496234,0.1710642814582835,1.3799977974032767,1.5401188936959702,4.655641008985569,0.5455856943432323,4.400299044096327,4.910982973874811
99997,MinHeap_O((V+E)logV),2.3967875853498297,0.3965638014471226,2.211190013207932,2.5823851574917276,7.640812896878947,1.2638476065607067,7.0493140094892155,8.232311784268681
99997,NetworkX (Ref),1.4426259153501633,0.16010002667552098,1.3676967963978077,1.5175550343025188,4.599931556994294,0.5102361273010889,4.361133698741481,4.838729415247107
99998,MinHeap_O((V+E)logV),2.3587130294331775,0.3183649035037009,2.2398336207364955,2.4775924381298595,7.519834837580864,1.015170844549658,7.1407638143681185,7.898905860793609
99998,NetworkX (Ref),1.4173982113000723,0.1016751755805856,1.3794320767823243,1.4553643458178203,4.519563308514348,0.3239613842053019,4.398594139579441,4.640532477449257
